bodyType;brand;color;fuelType;modelDate;name;numberOfDoors;productionDate;vehicleConfiguration;vehicleTransmission;engineDisplacement;enginePower;description;mileage;Комплектация;Привод;Руль;Состояние;Владельцы;ПТС;Таможня;Владение;id;price;model
None;BMW ;серый ;дизель ;F16 (2014—н. в.) ;30d 3.0 AT (249 л.с.) ;5;2017;None;автомат ;None;None;None;31400 км ;Luxury ;полный ;левый ;не битый ;1;None;None;None;None;5 120 000;X6 
седан ;BMW ;серый ;бензин ;F44 (2019—н. в.) ;218i 1.5 AMT (140 л.с.) ;4;2020;None;None;None;None;None;None;M Sport Pro ;передний ;левый ;None;None;None;None;None;None;2 260 000;2 серия Gran Coupe 
None;BMW ;чёрный ;дизель ;F10/F11 (2009—2013) ;530d 3.0 xDrive AT (258 л.с.) ;4;2012;None;автомат ;None;None;None;142000 км ;None;полный ;левый ;не битый ;3;None;None;None;None;1 450 000;5 серия 
седан ;BMW ;серый ;дизель ;G11/G12 (2015—2019) ;730d 3.0 xDrive Steptronic (249 л.с.) ;4;2019;None;None;None;None;None;None;None;полный ;левый ;None;None;None;None;None;None;5 610 000;7 серия 
None;BMW ;синий ;бензин ;E39 (1995—2000) ;520i 2.0 AT (150 л.с.) ;4;1997;None;автомат ;None;None;None;310000 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;240 000;5 серия 
None;BMW ;синий ;бензин ;E90/E91/E92/E93 рестайлинг (2008—2013) ;320i 2.0 AT (156 л.с.) ;2;2013;None;автомат ;None;None;None;116449 км ;SE ;задний ;левый ;не битый ;2;None;None;None;None;655 000;3 серия 
внедорожник ;BMW ;белый ;дизель ;G05 (2018—н. в.) ;30d 3.0 xDrive Steptronic (249 л.с.) ;5;2020;None;None;None;None;None;None;M Sport Pro ;полный ;левый ;None;None;None;None;None;None;6 390 000;X5 
None;BMW ;коричневый ;дизель ;E84 рестайлинг (2012—2015) ;20d 2.0 xDrive AT (184 л.с.) ;5;2014;None;автомат ;None;None;None;65000 км ;None;полный ;левый ;не битый ;2;None;None;None;None;1 400 000;X1 
None;BMW ;чёрный ;бензин ;F48 (2015—2019) ;18i 1.5 sDrive Steptronic (136 л.с.) ;5;2017;None;автомат ;None;None;None;100000 км ;None;передний ;левый ;не битый ;2;None;None;None;None;1 390 000;X1 
None;BMW ;чёрный ;бензин ;F30/F31 (2011—2015) ;320i 2.0 xDrive AT (184 л.с.) ;4;2015;None;автомат ;None;None;None;110000 км ;Sport ;полный ;левый ;не битый ;2;None;None;None;None;1 320 000;3 серия 
None;BMW ;серый ;дизель ;F16 (2014—н. в.) ;40d 3.0 AT (313 л.с.) ;5;2016;None;автомат ;None;None;None;62000 км ;M Sport Extravagance ;полный ;левый ;не битый ;1;None;None;None;None;2 980 000;X6 
None;BMW ;белый ;дизель ;F15 (2013—2018) ;25d 3.0 xDrive Steptronic (218 л.с.) ;5;2017;None;автомат ;None;None;None;99000 км ;Business ;полный ;левый ;не битый ;1;None;None;None;None;2 650 000;X5 
None;BMW ;синий ;бензин ;G14/G15 (2018—н. в.) ;M850i 4.4 xDrive АT (530 л.с.) ;2;2019;None;автомат ;None;None;None;70 км ;Base ;полный ;левый ;не битый ;1;None;None;None;None;8 455 000;8 серия 
None;BMW ;серебряный ;бензин ;E39 (1995—2000) ;520i 2.0 MT (150 л.с.) ;4;1998;None;механика ;None;None;None;350000 км ;Базовая ;задний ;левый ;не битый ;3;None;None;None;None;430 000;5 серия 
None;BMW ;зелёный ;бензин ;E39 (1995—2000) ;523i 2.5 AT (170 л.с.) ;4;1998;None;автомат ;None;None;None;431500 км ;None;задний ;левый ;не битый ;4+ ;None;None;None;None;275 000;5 серия 
None;BMW ;чёрный ;дизель ;F15 (2013—2018) ;30d 3.0 xDrive Steptronic (249 л.с.) ;5;2018;None;автомат ;None;None;None;96000 км ;M Sport ;полный ;левый ;не битый ;1;None;None;None;None;3 450 000;X5 
None;BMW ;серый ;бензин ;F10/F11 (2009—2013) ;528i 3.0 AT (258 л.с.) ;4;2011;None;автомат ;None;None;None;178000 км ;Luxury ;задний ;левый ;не битый ;3;None;None;None;None;950 000;5 серия 
None;BMW ;чёрный ;бензин ;F10 (2011—2013) ;4.4 AMT (560 л.с.) ;4;2012;None;робот ;None;None;None;92000 км ;Базовая ;задний ;левый ;не битый ;2;None;None;None;None;2 499 999;M5 
None;BMW ;чёрный ;бензин ;E65/E66 рестайлинг (2005—2008) ;730Li 3.0 AT (258 л.с.) ;4;2007;None;автомат ;None;None;None;232000 км ;Базовая ;задний ;левый ;не битый ;2;None;None;None;None;600 000;7 серия 
None;BMW ;красный ;бензин ;E71 (2007—2012) ;35i 3.0 AT (306 л.с.) ;5;2011;None;автомат ;None;None;None;172001 км ;None;полный ;левый ;не битый ;2;None;None;None;None;955 999;X6 
None;BMW ;чёрный ;бензин ;E60/E61 рестайлинг (2007—2010) ;530i 3.0 AT (272 л.с.) ;4;2008;None;автомат ;None;None;None;127040 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;629 000;5 серия 
None;BMW ;чёрный ;бензин ;F06/F13/F12 (2011—2015) ;640i 3.0 AT (320 л.с.) ;2;2011;None;автомат ;None;None;None;12927 км ;Базовая ;задний ;левый ;не битый ;3;None;None;None;None;2 415 000;6 серия 
None;BMW ;серый ;дизель ;F01/F02 рестайлинг (2012—2015) ;740d 3.0 xDrive AT (313 л.с.) ;4;2014;None;автомат ;None;None;None;140000 км ;Базовая ;полный ;левый ;не битый ;3;None;None;None;None;1 700 000;7 серия 
None;BMW ;белый ;дизель ;F26 (2014—2018) ;20d 2.0 AT (190 л.с.) ;5;2017;None;автомат ;None;None;None;75000 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;2 150 000;X4 
None;BMW ;чёрный ;бензин ;F10/F11 рестайлинг (2013—2017) ;520i 2.0 AT (184 л.с.) ;4;2016;None;автомат ;None;None;None;88000 км ;M Sport Локальная сборка ;задний ;левый ;битый ;1;None;None;None;None;700 000;5 серия 
None;BMW ;синий ;бензин ;E83 рестайлинг (2006—2010) ;25i 2.5 AT (218 л.с.) ;5;2008;None;автомат ;None;None;None;119000 км ;None;полный ;левый ;не битый ;2;None;None;None;None;585 000;X3 
None;BMW ;чёрный ;дизель ;F06 (2011—2015) ;640d 3.0 xDrive AT (313 л.с.) ;4;2014;None;автомат ;None;None;None;87700 км ;Базовая ;полный ;левый ;не битый ;3;None;None;None;None;2 099 000;6 серия Gran Coupe 
None;BMW ;чёрный ;дизель ;F10/F11 (2009—2013) ;530d 3.0 xDrive AT (258 л.с.) ;4;2012;None;автомат ;None;None;None;130000 км ;Luxury ;полный ;левый ;не битый ;2;None;None;None;None;1 290 000;5 серия 
None;BMW ;чёрный ;дизель ;E70 (2006—2010) ;30d 3.0 AT (235 л.с.) ;5;2008;None;автомат ;None;None;None;270000 км ;Базовая ;полный ;левый ;не битый ;2;None;None;None;None;1 050 000;X5 
None;BMW ;чёрный ;дизель ;F15 (2013—2018) ;M50d 3.0 xDrive Steptronic (381 л.с.) ;5;2014;None;автомат ;None;None;None;83609 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;3 299 000;X5 
None;BMW ;чёрный ;дизель ;E39 рестайлинг (2000—2004) ;530d 2.9 AT (193 л.с.) ;4;2002;None;автомат ;None;None;None;274000 км ;Базовая ;задний ;левый ;не битый ;1;None;None;None;None;180 000;5 серия 
None;BMW ;чёрный ;дизель ;F01/F02 рестайлинг (2012—2015) ;740d 3.0 xDrive AT (313 л.с.) ;4;2013;None;автомат ;None;None;None;48343 км ;None;полный ;левый ;не битый ;4+ ;None;None;None;None;1 799 000;7 серия 
None;BMW ;коричневый ;дизель ;E84 (2009—2012) ;20d 2.0 xDrive AT (177 л.с.) ;5;2012;None;автомат ;None;None;None;121000 км ;Базовая ;полный ;левый ;не битый ;2;None;None;None;None;799 000;X1 
None;BMW ;синий ;бензин ;E46 рестайлинг (2001—2006) ;318i 2.0 AT (143 л.с.) ;4;2001;None;автомат ;None;None;None;200000 км ;Базовая ;задний ;левый ;не битый ;3;None;None;None;None;245 000;3 серия 
None;BMW ;чёрный ;бензин ;E46 рестайлинг (2001—2006) ;330i 3.0 AT (231 л.с.) ;4;2003;None;автомат ;None;None;None;199000 км ;Базовая ;задний ;левый ;не битый ;3;None;None;None;None;480 000;3 серия 
None;BMW ;голубой ;бензин ;F85 (2014—2018) ;4.4 AT (575 л.с.) ;5;2015;None;автомат ;None;None;None;88500 км ;None;полный ;левый ;не битый ;2;None;None;None;None;3 690 000;X5 M 
None;BMW ;синий ;дизель ;F07 (2009—2013) ;530d 3.0 xDrive AT (245 л.с.) ;5;2011;None;автомат ;None;None;None;206000 км ;Базовая ;полный ;левый ;не битый ;4+ ;None;None;None;None;1 199 000;5 серия GT 
None;BMW ;зелёный ;бензин ;E39 (1995—2000) ;523i 2.5 AT (170 л.с.) ;4;1996;None;автомат ;None;None;None;235000 км ;Базовая ;задний ;левый ;не битый ;2;None;None;None;None;255 000;5 серия 
None;BMW ;чёрный ;бензин ;E90/E91/E92/E93 рестайлинг (2008—2013) ;325i 2.5 AT (218 л.с.) ;4;2011;None;автомат ;None;None;None;92384 км ;Базовая ;задний ;левый ;не битый ;1;None;None;None;None;810 000;3 серия 
None;BMW ;чёрный ;бензин ;E53 рестайлинг (2003—2007) ;3.0i 3.0 AT (231 л.с.) ;5;2006;None;автомат ;None;None;None;190000 км ;Базовая ;полный ;левый ;не битый ;3;None;None;None;None;629 000;X5 
None;BMW ;чёрный ;дизель ;F10/F11 рестайлинг (2013—2017) ;520d 2.0 AT (190 л.с.) ;4;2016;None;автомат ;None;None;None;100000 км ;None;задний ;левый ;не битый ;1;None;None;None;None;1 600 000;5 серия 
None;BMW ;серый ;бензин ;F06/F13/F12 (2012—2015) ;4.4 DCT (560 л.с.) ;2;2012;None;робот ;None;None;None;38500 км ;Базовая ;задний ;левый ;не битый ;2;None;None;None;None;3 300 000;M6 
None;BMW ;серебряный ;бензин ;E53 рестайлинг (2003—2007) ;3.0i 3.0 AT (231 л.с.) ;5;2005;None;автомат ;None;None;None;247000 км ;Базовая ;полный ;левый ;не битый ;2;None;None;None;None;545 000;X5 
None;BMW ;синий ;бензин ;F10/F11 (2009—2013) ;535i 3.0 xDrive AT (306 л.с.) ;4;2013;None;автомат ;None;None;None;98000 км ;Базовая ;полный ;левый ;не битый ;3;None;None;None;None;1 600 000;5 серия 
None;BMW ;чёрный ;бензин ;E70 (2006—2010) ;30i 3.0 AT (272 л.с.) ;5;2009;None;автомат ;None;None;None;158000 км ;Базовая ;полный ;левый ;не битый ;3;None;None;None;None;900 000;X5 
None;BMW ;серый ;дизель ;F10/F11 рестайлинг (2013—2017) ;530d 3.0 xDrive AT (258 л.с.) ;4;2015;None;автомат ;None;None;None;103000 км ;Luxury Локальная сборка ;полный ;левый ;не битый ;2;None;None;None;None;1 850 000;5 серия 
None;BMW ;чёрный ;бензин ;F25 (2010—2014) ;28i 2.0 xDrive AT (245 л.с.) ;5;2014;None;автомат ;None;None;None;169000 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;1 450 000;X3 
None;BMW ;оранжевый ;бензин ;I (1966—1977) ;2.0 MT (101 л.с.) ;2;1972;None;механика ;None;None;None;118000 км ;Базовая ;задний ;левый ;не битый ;1;None;None;None;None;1 000 000;02 (E10) 
